
**************************************************
All knownplanet from TIC7.1 in sector 2:

pl_hostname  is_transiting   PRIORITY    TESSMAG     RADIUS  total_sectors_obsd
                HD 72892              0     0.003854      8.17500         1.22                   1
                HD 86081              0     0.003672      8.15900         1.22                   1
               HD 154672              0     0.003624      7.57800         1.44                   1
               HD 152079              0     0.003555      8.55200         1.15                   1
               HD 205739              0     0.003365      8.04600         1.33                   1
               HD 154857              0     0.003302      6.55100         1.76                   1
               HIP 65426              0     0.003194      6.94700         1.77                   1
                HD 31253              0     0.003146      6.57700         1.71                   1
                 HD 9174              0     0.002758      7.73100         1.67                   1
               HD 224693              0     0.002660      7.66100         1.70                   1
               HD 156411              0     0.002440      6.13400         2.16                   1
                HD 96167              0     0.002379      7.47900         1.86                   1
 2MASS J02192210-3925225              0     0.001810     13.49200         0.28                   1
               HD 147873              0     0.001701      7.53000         2.29                   1
               HD 106270              0     0.001689      6.88300         2.50                   1
                HD 38801              0     0.001622      7.47300         2.53                   1
                 WASP-41              0     0.001550     10.72600         0.87                   1
                 CoRoT-7              0     0.001390     10.95300         0.82                   1
               HD 222076              0     0.001201      6.53700         4.10                   1
               WASP-94 B              0     0.001006      9.99100         1.35                   1
                HD 30856              0     0.000929      7.02500         4.20                   1
                HD 33142              0     0.000843      7.09500         4.20                   1
                HD 98219              0     0.000707      7.17100         4.50                   1
                HD 18742              0     0.000685      6.93100         4.90                   1
                HD 33844              0     0.000665      6.36100         5.29                   1
                HD 96063              0     0.000631      7.40900         4.50                   1
               HD 212771              0     0.000609      6.75300         5.00                   1
               HIP 74890              0     0.000555      6.08700         5.77                   1
                HD 28678              0     0.000408      7.32600         6.20                   1
                HD 86950              0     0.000288      6.50700         8.80                   1
                CoRoT-20              0     0.000153     13.77800         1.02                   1
                 HD 1690              0     0.000077      7.90200        16.70                   1
               HD 114729              0     0.000000      6.09000          NaN                   1
                HD 16141              0     0.000000      6.22100          NaN                   1
               HD 213240              0     0.000000      6.23700          NaN                   1
                HD 90156              0     0.000000      6.26800          NaN                   1
                HD 85512              0     0.000000      6.40529          NaN                   1
               HD 108147              0     0.000000      6.48100          NaN                   1
                HD 70642              0     0.000000      6.52800          NaN                   1
               HD 159868              0     0.000000      6.54900          NaN                   1
               HD 117207              0     0.000000      6.61000          NaN                   1
               HD 117618              0     0.000000      6.61200          NaN                   1
               HD 103774              0     0.000000      6.68800          NaN                   1
               HD 142415              0     0.000000      6.75800          NaN                   1
               HD 102117              0     0.000000      6.80700          NaN                   1
               HD 111232              0     0.000000      6.92300          NaN                   1
               HD 208487              0     0.000000      6.95500          NaN                   1
                HD 86264              0     0.000000      6.96600          NaN                   1
               HD 104067              0     0.000000      6.98300          NaN                   1
                HD 47186              0     0.000000      6.98500          NaN                   1
             HD 142022 A              0     0.000000      7.00500          NaN                   1
               HD 121504              0     0.000000      7.02000          NaN                   1
                HD 74156              0     0.000000      7.09700          NaN                   1
                HD 46375              0     0.000000      7.13800          NaN                   1
                 HD 4208              0     0.000000      7.14600          NaN                   1
                HD 28185              0     0.000000      7.15600          NaN                   1
                 HD 4113              0     0.000000      7.24400          NaN                   1
               HD 212301              0     0.000000      7.25000          NaN                   1
               HD 221287              0     0.000000      7.31300          NaN                   1
               HD 175167              0     0.000000      7.33100          NaN                   1
                HD 45652              0     0.000000      7.36500          NaN                   1
               HD 106906              0     0.000000      7.36500          NaN                   1
               HD 101930              0     0.000000      7.37000          NaN                   1
               HD 204313              0     0.000000      7.37600          NaN                   1
                HD 45364              0     0.000000      7.38100          NaN                   1
                HD 93083              0     0.000000      7.43000          NaN                   1
               HD 147018              0     0.000000      7.59500          NaN                   1
                HD 12484              0     0.000000      7.60500          NaN                   1
                HD 66428              0     0.000000      7.62500          NaN                   1
                HD 85390              0     0.000000      7.72000          NaN                   1
               HD 100777              0     0.000000      7.75000          NaN                   1
               HD 114386              0     0.000000      7.75608          NaN                   1
             HD 133131 B              0     0.000000      7.81000          NaN                   1
             HD 133131 A              0     0.000000      7.85000          NaN                   1
               HD 125595              0     0.000000      7.94476          NaN                   1
               HD 162020              0     0.000000      8.04100          NaN                   1
                HD 70573              0     0.000000      8.10000          NaN                   1
              BD-06 1339              0     0.000000      8.21060          NaN                   1
                HD 73526              0     0.000000      8.30100          NaN                   1
               HD 166724              0     0.000000      8.46609          NaN                   1
                 HD 2638              0     0.000000      8.58200          NaN                   1
               HIP 12961              0     0.000000      8.67496          NaN                   1
              BD-08 2823              0     0.000000      8.79789          NaN                   1
              BD-13 2130              0     0.000000      8.89700          NaN                   1
                HD 95872              0     0.000000      9.08500          NaN                   1
                HIP 5158              0     0.000000      9.10108          NaN                   1
              BD-10 3166              0     0.000000      9.27800          NaN                   1
                  GQ Lup              0     0.000000     10.04600          NaN                   1
                  CT Cha              0     0.000000     10.79900          NaN                   1
      OGLE-2008-BLG-092L              0     0.000000     13.74700          NaN                   1
       MOA-2008-BLG-379L              0     0.000000     13.95900          NaN                   1
                 CHXR 73              0     0.000000     14.42400          NaN                   1
       MOA-2010-BLG-328L              0     0.000000     14.87000          NaN                   1
     OGLE-2012-BLG-0406L              0     0.000000     15.12900          NaN                   1
DENIS-P J082303.1-491201              0     0.000000     15.29700          NaN                   1
 2MASS J12073346-3932539              0     0.000000     15.66200          NaN                   1
      OGLE-2007-BLG-368L              0     0.000000     15.85500          NaN                   1
       MOA-2010-BLG-477L              0     0.000000     15.86200          NaN                   1
       MOA-2008-BLG-310L              0     0.000000     15.88000          NaN                   1
     OGLE-2014-BLG-0676L              0     0.000000     16.00500          NaN                   1
                  UZ For              0     0.000000     16.31100          NaN                   1
       MOA-2009-BLG-266L              0     0.000000     16.82900          NaN                   1
                GJ 667 C              0     0.000000     18.45900          NaN                   1

**************************************************
