RA,DEC,TESSMAG,TEFF,PRIORITY,RADIUS,MASS,CONTRATIO,ECLONG,ECLAT,DIST,TICID,SPEC_LIST
300.371277,46.408272,13.979,5310.0,0.000306049530861,0.83,0.87,0.0790017926063,323.527819,64.30833,,239285770,knownplanet
316.9614660000001,-26.09666,13.095999999999998,5523.0,0.000291444225498,0.89,0.96,0.0234135801604,311.676621,-9.194458,,289793076,knownplanet
313.21548,-25.687338,13.18,5346.0,0.00025241231624,0.93,0.97,1.94125044544e-05,308.528109,-7.842335,,29344935,knownplanet
300.929603,44.028783,14.365,5665.0,0.00017348093197599998,0.93,0.94,0.407962899906,321.935571,62.006039,,185057567,knownplanet
300.102351,45.762143,14.055,5800.0,0.000129194324765,1.35,1.12,0.7777018886750001,322.472025,63.819391,,239277658,knownplanet
300.344076,45.623219,13.397,6778.0,0.000146005342932,1.83,1.51,0.129961804954,322.670257,63.619128,,239287622,knownplanet
300.517131,44.38158,13.424,6174.0,0.000230941331234,1.3,1.17,0.188618635758,321.694774,62.452473,,239306681,knownplanet
325.122159,16.421758999999998,14.69,2300.0,0.00180442471934,0.12,0.08,0.219346587341,333.590507,28.526095,,301728657,knownplanet
300.8639740000001,44.337555,12.331,5858.0,0.0006609701412949999,1.04,1.0,0.15290057719699998,322.13405,62.304302,,184997417,knownplanet
315.476971,-13.433229999999998,10.466,5763.0,0.0,1.22,1.11,0.004696717778449999,313.998383,3.33344,,442530946,knownplanet
314.575378,-35.79655800000001,12.166,5700.0,0.000255315370596,1.44,1.16,0.024075594435400003,306.735089,-17.867721,,92449173,knownplanet
300.431009,44.751006,13.098,5508.0,0.000444154804984,0.88,0.92,1.57765400685,321.927504,62.811353,,239307743,knownplanet
300.33238,44.986135,12.825,6846.0,0.000208340889065,1.88,1.54,0.188161630218,322.018168,63.053158,,239289191,knownplanet
300.935406,45.596541,13.161,6297.0,0.00025311140784400004,1.39,1.23,0.376726912123,323.469229,63.40734000000001,,185062313,knownplanet
300.488181,44.46067100000001,15.087,4995.0,0.000124166666677,0.77,0.81,0.699347918495,321.729369,62.532645,,239306899,knownplanet
311.0919580000001,-19.43751,13.995,5311.0,0.0,0.92,0.87,0.00758056123653,308.3137240000001,-1.296011,,271898990,knownplanet
318.736981,-55.87178,12.352,5600.0,0.000611342715711,0.86,0.83,0.0882220494467,302.236338,-37.755392,,231663901,knownplanet
303.167393,-2.144218,10.336,4143.0,0.00341139650968,0.59,0.58,0.054717302769300015,304.945836,17.362067,,243921117,knownplanet
