RA,DEC,TESSMAG,TEFF,PRIORITY,RADIUS,MASS,CONTRATIO,ECLONG,ECLAT,DIST,TICID,SPEC_LIST,dec,elat,elon,ra,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,total_sectors_obsd
0.7744850000000001,-62.46934200000001,13.129000000000001,5380.0,0.00040237562488699996,0.98,0.95,0.00197394908005,323.101048,-54.693791000000004,,355703913,knownplanet,-62.46934200000001,-54.69380192002272,323.1010560817689,0.7744850000000001,1,1,0,0,0,0,0,0,0,0,0,0,0,2
4.859266000000001,44.027639,12.767999999999999,5215.0,0.000490635153897,0.85,0.9,0.0844185605439,24.88591700000001,37.837779,,440113053,knownplanet,44.027639,37.83777872972508,24.88591031288423,4.859266000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.486328,34.985534,6.635,4830.0,0.000268863247045,9.09,1.01,0.00114627164802,27.679765000000003,26.393489000000002,222.195267721,53848538,knownplanet,34.985534,26.39348777986245,27.679761242942885,14.486328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.471452,2.704374,6.936,5034.0,0.0,,1.56,0.0006256421944299999,24.601507,-7.330278,129.647701772,380908091,knownplanet,2.704374,-7.330279373670297,24.60150996908594,25.471452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.000781,34.728414,12.255,5680.0,0.000397975950925,1.1,1.02,0.046094796691100004,26.326671,26.688066,,53728859,knownplanet,34.728414,26.688065540476472,26.326667257212545,13.000781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.920324,21.005313,8.048,4296.0,6.99947684836e-05,17.3,0.8,0.00024449003513399997,31.621665999999998,9.587492,1083.63688732,60923874,knownplanet,21.005313,9.587492221390463,31.621665665381567,25.920324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.871105,38.968146000000004,13.024000000000001,5956.0,0.000229251946923,1.21,1.09,0.0025402307834099997,35.56438,27.50231500000001,,189380158,knownplanet,38.968146000000004,27.502316276621038,35.56437620803273,21.871105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9031559999999996,-11.938108,12.333,5410.0,0.00043129134695199994,0.93,0.95,0.00610108155056,358.756977,-12.490449,,12862099,knownplanet,-11.938108,-12.490455483060586,358.75698114171007,3.9031559999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.232612,20.083129,6.016,5680.0,0.0,,1.11,0.000392137069855,31.5598,8.621986,32.5732899023,456905162,knownplanet,20.083129,8.621985682603691,31.559800677511728,26.232612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.755861999999999,0.789563,7.1270000000000024,4958.0,0.0,3.85,1.51,5.347744558890001e-07,12.966352,-4.69972,119.644308508,344627954,knownplanet,0.789563,-4.699723047338135,12.96635481214023,13.755861999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.418138,7.8450380000000015,6.934,5035.0,0.0,4.9,1.72,0.000306748069609,13.56143,2.706575,132.284497588,405228516,knownplanet,7.8450380000000015,2.706571939161996,13.561430952424963,11.418138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.305528,-8.281153999999999,7.902,4393.0,7.74692890026e-05,16.7,1.09,0.00026895355314700004,1.549852,-9.703128999999999,673.702786525,37763102,knownplanet,-8.281153999999999,-9.703134644544859,1.5498556522964655,5.305528,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15.138323999999999,20.292482,7.095,4907.0,0.000254288311758,8.7,1.91,0.00033079914102099995,21.830278,12.753797,272.481798365,243146568,knownplanet,20.292482,12.753795268307657,21.830277154936745,15.138323999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.131345,30.974846999999997,6.62,4757.0,0.0009959229007170001,3.8,1.31,0.00317911134293,17.854832000000005,26.21173,89.7086042603,57983992,knownplanet,30.974846999999997,26.211727254974893,17.854828086200936,5.131345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.449314,6.868908,12.959000000000001,5627.0,0.0,1.05,1.01,0.0007744067094269997,20.54607,-1.247383,,376939759,knownplanet,6.868908,-1.2473846354029279,20.546072378080407,19.449314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.526335999999997,-54.464994999999995,6.859,4670.0,0.00043449084130800004,7.83,1.17,0.00744015730493,351.47535899999997,-58.58955600000001,155.78834733899998,231019255,knownplanet,-54.464994999999995,-58.58956255501086,351.47537516800617,27.526335999999997,0,1,1,0,0,0,0,0,0,0,0,0,0,2
4.821035,14.054799,7.497000000000001,5049.0,0.0006230459000619999,4.5,1.61,0.000607240278494,10.055009,10.974988,159.23566879,303193565,knownplanet,14.054799,10.974984224664082,10.055008328389311,4.821035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.560706,65.594365,6.994,6255.0,0.00377942225489,1.67,1.29,0.0027107795145500002,59.483236,47.924388,79.9686122712,12906712,knownplanet,65.594365,47.924393621122825,59.483226025703615,34.560706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.152386,22.472657,12.275,4421.98,0.0,0.63,0.7,0.0489780716994,61.698488,2.013134,,14111411,knownplanet,22.472657,2.0131399427262617,61.698489365408925,59.152386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.889734,21.29867,10.404000000000002,5730.0,0.0,1.23,0.88,0.0388326707233,62.131799,0.725223,,14227229,knownplanet,21.29867,0.7252287091554638,62.1318013320309,59.889734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.240605,24.648051000000002,6.574,6300.0,0.0051604281967,1.13,1.16,1.27893721441,44.567817,8.854792999999997,46.6785629293,22874788,knownplanet,24.648051000000002,8.854795785167124,44.56781714788502,39.240605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.368966,30.67357,10.847000000000001,4980.0,0.00147392634403,0.79,0.83,0.0399599302411,53.369999,12.494128,133.477183406,85593751,knownplanet,30.67357,12.494132544160436,53.369998368088986,47.368966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.552762,18.635604,12.255999999999998,5482.0,0.0,0.76,0.79,0.0593654882052,53.900148,-0.11563499999999999,,25958378,knownplanet,18.635604,-0.11563065614539356,53.900150432992355,51.552762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.651,20.59926,10.357999999999999,5766.0,0.0,0.93,0.96,4.20435161153e-05,56.292536,1.31234,173.12590554,26123781,knownplanet,20.59926,1.312344469027319,56.292537529012996,53.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.63909,-0.463937,11.263,6272.0,0.0004976038111010001,1.36,1.22,0.00772210059449,39.05549,-15.766516000000001,,35857242,knownplanet,-0.463937,-15.76651441316121,39.05549522004119,41.63909,0,0,0,1,0,0,0,0,0,0,0,0,0,1
42.767844000000004,30.286785,6.979,5904.0,0.0052056479174499995,1.18,0.98,0.0005647228127840001,49.360779,13.266206,44.52070645630001,77490014,knownplanet,30.286785,13.266209786929249,49.36077828695642,42.767844000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.040001000000004,-30.169040999999996,10.452,6250.0,0.000663643928381,1.98,1.39,0.00044810094272400004,26.202678,-43.383719,422.925700859,122612091,knownplanet,-30.169040999999996,-43.383719570533756,26.20269103827213,41.040001000000004,0,0,1,1,0,0,0,0,0,0,0,0,0,2
50.014920000000004,-28.854056,6.763,5798.0,0.00724248958689,1.09,1.02,0.0007303352050840001,36.976785,-45.210687,35.8503546248,144503325,knownplanet,-28.854056,-45.21068575947465,36.976797897229666,50.014920000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36.775436,-50.284518,9.632,6038.0,0.00297617862955,1.17,1.13,0.000207751523995,5.024097,-59.083661,156.373599871,166739520,knownplanet,-50.284518,-59.08366603732663,5.024115185012769,36.775436,0,1,1,0,0,0,0,0,0,0,0,0,0,2
39.897688,-50.008005,8.923,6180.0,0.0023191185937199996,1.76,1.48,0.0008077893145410001,8.474121,-60.099114,154.769492471,166836920,knownplanet,-50.008005,-60.09911787639442,8.47414209121538,39.897688,0,0,1,0,0,0,0,0,0,0,0,0,0,1
47.809326,21.097329000000002,7.822999999999999,5485.0,0.0,1.0,0.99,0.00022931412002200004,51.130941,3.169326,50.7678088004,113810736,knownplanet,21.097329000000002,3.1693302152700786,51.130943059385906,47.809326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.142844,25.414286999999998,6.771,5748.0,0.005882881207880001,1.11,1.02,0.000940453810215,37.783628,12.001366,37.9424724908,118268680,knownplanet,25.414286999999998,12.00136680547128,37.78362810919199,31.142844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.00151999999999,40.530639,6.691,5904.0,0.0,,1.16,0.034982485372,63.856749,20.039445,52.1558890684,201266092,knownplanet,40.530639,20.03945084268041,63.85674675207295,57.00151999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.037513,13.559266000000001,11.669,5441.0,0.0006683384640499999,0.87,0.9,0.00271889469233,59.763845999999994,-6.689226,,242961495,knownplanet,13.559266000000001,-6.689219549291221,59.76384934612936,59.037513,0,0,0,0,1,0,0,0,0,0,0,0,0,1
